iter	Passed	Remaining
0	221	221513
1	410	205078
2	586	194883
3	707	176256
4	852	169692
5	982	162712
6	1119	158862
7	1256	155866
8	1407	154932
9	1552	153670
10	1685	151579
11	1814	149418
12	1946	147810
13	2083	146749
14	2203	144664
15	2336	143687
16	2481	143489
17	2868	156491
18	3064	158244
19	3241	158820
20	3393	158195
21	3588	159541
22	3754	159487
23	3892	158293
24	4034	157334
25	4175	156431
26	4342	156498
27	4474	155316
28	4614	154519
29	4739	153253
30	4877	152462
31	5009	151547
32	5103	149555
33	5235	148751
34	5371	148086
35	5479	146718
36	5605	145889
37	5724	144926
38	5838	143877
39	5966	143186
40	6060	141766
41	6196	141341
42	6314	140545
43	6436	139852
44	6577	139592
45	6736	139717
46	6896	139839
47	7107	140955
48	7300	141691
49	7402	140651
50	7593	141303
51	7756	141406
52	7891	140999
53	8028	140651
54	8158	140179
55	8301	139945
56	8460	139973
57	8593	139574
58	8726	139179
59	8861	138837
60	8983	138292
61	9105	137753
62	9240	137439
63	9374	137102
64	9510	136808
65	9648	136537
66	9778	136174
67	9893	135592
68	10043	135515
69	10155	134916
70	10282	134540
71	10526	135676
72	10654	135291
73	10780	134899
74	10914	134617
75	11060	134472
76	11175	133965
77	11313	133736
78	11453	133524
79	11597	133365
80	11739	133189
81	11870	132888
82	12007	132662
83	12144	132432
84	12284	132240
85	12408	131879
86	12573	131952
87	12730	131932
88	12856	131594
89	12983	131279
90	13113	130993
91	13239	130669
92	13361	130305
93	13487	130000
94	13626	129809
95	13757	129552
96	13900	129401
97	14044	129263
98	14177	129030
99	14320	128885
100	14452	128642
101	14586	128420
102	14728	128269
103	14853	127965
104	14987	127753
105	15121	127536
106	15258	127343
107	15390	127112
108	15527	126925
109	15641	126552
110	15777	126362
111	15914	126177
112	16038	125896
113	16187	125807
114	16326	125639
115	16457	125414
116	16584	125161
117	16729	125046
118	16850	124750
119	16978	124507
120	17116	124343
121	17250	124146
122	17377	123899
123	17519	123766
124	17651	123557
125	17782	123347
126	17909	123109
127	18064	123063
128	18197	122866
129	18344	122765
130	18469	122518
131	18600	122309
132	18725	122068
133	18852	121839
134	18990	121678
135	19117	121452
136	19233	121157
137	19372	121007
138	19503	120810
139	19639	120640
140	19766	120421
141	19892	120192
142	20024	120007
143	20155	119815
144	20316	119798
145	20515	120004
146	20646	119804
147	20784	119649
148	20933	119558
149	21056	119318
150	21193	119160
151	21303	118853
152	21431	118643
153	21561	118445
154	21699	118295
155	21832	118121
156	21975	117997
157	22103	117794
158	22229	117579
159	22376	117477
160	22525	117383
