iter	Passed	Remaining
0	658	658224
1	1087	542862
2	1625	540112
3	2008	500043
4	2359	469470
5	2742	454359
6	3071	435713
7	3378	418976
8	3771	415312
9	4100	405965
10	4534	407659
11	4978	409871
12	5759	437257
13	6269	441528
14	6920	454441
15	7496	461029
16	8069	466605
17	8612	469870
18	8975	463412
19	9357	458530
20	9899	461497
21	10524	467860
22	10965	465800
23	11562	470223
24	12027	469088
25	12623	472913
26	13031	469630
27	13534	469838
28	13991	468471
29	14411	465963
30	14773	461801
31	15172	458974
32	15605	457295
33	16053	456110
34	16526	455658
35	17023	455840
36	17457	454370
37	17893	452997
38	18353	452260
39	18904	453710
40	19356	452762
41	19731	450069
42	20144	448327
43	20597	447528
44	20954	444700
45	21357	442931
46	21876	443578
47	22279	441885
48	22603	438696
49	22982	436665
50	23351	434514
51	23743	432857
52	24087	430402
53	24434	428053
54	24821	426473
55	25186	424574
56	25547	422660
57	25919	420964
58	26259	418814
59	26650	417526
60	27014	415845
61	27297	412978
62	27740	412582
63	28066	410467
64	28398	408496
65	28748	406831
66	29135	405720
67	29501	404341
68	29865	402970
69	30243	401803
70	30637	400879
71	31057	400300
72	31453	399410
73	31805	398003
74	32198	397112
75	32617	396561
76	32960	395101
77	33262	393175
78	33609	391821
79	33944	390363
80	34300	389156
81	34645	387859
82	34991	386590
83	35330	385273
84	35765	385010
85	36117	383852
86	36522	383272
87	36881	382227
88	37283	381627
89	37689	381079
90	38053	380115
91	38397	378969
92	38746	377883
93	39069	376559
94	39400	375337
95	39727	374102
96	40094	373254
97	40432	372140
98	40771	371064
99	41103	369929
100	41457	369014
101	41830	368273
102	42222	367703
103	42529	366408
104	42875	365464
105	43223	364547
106	43510	363130
107	43874	362370
108	44159	360976
109	44519	360204
110	44849	359202
111	45182	358229
112	45518	357299
113	45870	356502
114	46225	355734
115	46575	354936
116	46933	354207
117	47280	353403
118	47676	352964
119	48021	352155
120	48408	351658
121	48761	350922
122	49072	349892
123	49434	349228
124	49785	348501
125	50106	347563
126	50451	346807
127	50804	346107
128	51112	345111
129	51456	344364
130	51769	343415
131	52118	342720
132	52474	342069
133	52809	341289
134	53120	340362
135	53479	339754
136	53843	339174
137	54160	338309
138	54458	337328
139	54782	336519
140	55127	335847
141	55496	335322
142	55851	334720
143	56188	334008
144	56523	333294
145	56835	332449
146	57177	331787
147	57520	331134
148	57857	330446
149	58205	329829
150	58524	329052
151	58869	328429
152	59208	327773
153	59526	327010
154	59869	326385
155	60166	325516
156	60485	324774
157	60840	324227
158	61187	323641
159	61532	323046
160	61906	322604
161	62236	321940
162	62559	321242
163	62921	320748
164	63365	320667
165	63773	320402
166	64109	319781
167	64433	319097
168	64763	318453
169	65094	317815
170	65457	317335
171	65859	317043
172	66280	316844
173	66700	316633
174	67099	316325
175	67520	316118
176	67908	315754
177	68280	315319
178	68611	314692
179	68968	314190
180	69280	313485
181	69586	312758
182	69929	312199
183	70304	311785
184	70648	311233
185	70982	310642
186	71366	310273
187	71758	309934
188	72155	309620
189	72563	309349
190	72931	308910
191	73339	308638
192	73742	308344
193	74138	308017
194	74538	307711
195	74949	307444
196	75368	307213
197	75802	307036
198	76204	306733
199	76624	306496
200	77023	306177
201	77410	305808
202	77775	305353
203	78131	304867
204	78510	304466
205	78966	304366
206	79438	304322
207	79820	303930
208	80170	303419
209	80507	302859
210	80866	302386
211	81268	302072
212	81743	302027
213	82197	301904
214	82567	301466
215	82934	301021
216	83275	300483
217	83630	299995
218	83966	299441
219	84352	299066
220	84763	298781
221	85115	298286
222	85479	297835
223	85852	297418
224	86199	296909
225	86542	296388
226	86900	295921
227	87209	295289
228	87571	294837
229	87923	294351
230	88255	293802
231	88585	293247
232	88915	292696
233	89257	292185
234	89596	291665
235	89952	291201
236	90305	290728
237	90711	290430
238	91156	290252
239	91525	289830
240	91935	289538
241	92367	289317
242	92762	288975
243	93177	288697
244	93532	288233
245	93894	287791
246	94292	287457
247	94645	286990
248	95009	286553
249	95388	286165
250	95799	285870
251	96195	285534
252	96514	284965
253	96908	284620
254	97275	284197
255	97614	283692
256	97976	283254
257	98335	282809
258	98688	282347
259	99058	281934
260	99428	281524
261	99792	281096
262	100149	280646
263	100480	280126
264	100825	279648
265	101179	279194
266	101520	278707
267	101883	278277
268	102232	277812
269	102581	277351
270	102935	276901
271	103327	276552
272	103661	276050
273	104030	275642
274	104384	275196
275	104780	274858
276	105105	274336
277	105431	273818
278	105819	273461
279	106163	272990
280	106502	272509
281	106871	272105
282	107219	271647
283	107588	271243
284	107957	270839
285	108301	270375
286	108662	269951
287	109063	269628
288	109416	269187
289	109758	268718
290	110092	268233
291	110451	267806
292	110813	267388
293	111168	266955
294	111523	266522
295	111857	266040
296	112187	265547
297	112546	265125
298	112885	264657
299	113208	264152
300	113562	263721
301	113936	263335
302	114283	262888
303	114622	262425
304	114937	261906
305	115283	261459
306	115655	261072
307	116018	260665
308	116399	260298
309	116764	259895
310	117149	259536
311	117483	259066
312	117852	258674
313	118218	258272
314	118561	257824
315	118915	257399
316	119264	256963
317	119627	256558
318	119998	256173
319	120357	255760
320	120684	255279
321	121085	254957
322	121442	254541
323	121797	254121
324	122301	254011
325	122684	253648
326	123050	253251
327	123356	252729
328	123720	252329
329	124056	251873
330	124387	251406
331	124742	250987
332	125101	250578
333	125444	250138
334	125778	249680
335	126130	249257
336	126498	248868
337	126859	248464
338	127163	247950
339	127495	247492
340	127779	246940
341	128159	246576
342	128478	246094
343	128856	245727
344	129192	245279
345	129547	244867
346	129871	244397
347	130213	243963
348	130547	243513
349	130914	243126
350	131224	242634
351	131637	242331
352	132002	241941
353	132383	241580
354	132758	241209
355	133192	240944
356	133572	240579
357	133991	240286
358	134397	239968
359	134813	239669
360	135240	239387
361	135666	239103
362	136096	238824
363	136522	238538
364	136940	238239
365	137278	237799
366	137589	237313
367	137957	236926
368	138302	236501
369	138633	236051
370	138986	235640
371	139331	235215
372	139744	234905
373	140140	234566
374	140519	234199
375	140931	233886
376	141336	233560
377	141797	233328
378	142173	232955
379	142606	232673
380	143036	232387
381	143413	232014
382	143773	231614
383	144135	231217
384	144487	230804
385	144845	230401
386	145259	230088
387	145638	229718
388	146029	229367
389	146409	228999
390	146757	228581
391	147263	228407
392	147795	228274
393	148356	228182
394	148813	227929
395	149308	227733
396	149798	227527
397	150268	227290
398	150713	227013
399	151208	226813
400	151629	226499
401	152046	226178
402	152520	225941
403	152965	225661
404	153362	225310
405	153737	224926
406	154192	224659
407	154729	224509
408	155230	224305
409	155609	223925
410	156054	223639
411	156398	223209
412	156848	222930
413	157266	222604
414	157704	222306
415	158063	221897
416	158413	221474
417	158821	221133
418	159253	220826
419	159578	220370
420	159915	219931
421	160281	219532
422	160660	219151
423	161026	218752
